PMID,AbstractText
1133546,"The concentrations of FSH, LH, prolactin, oestradiol and progesterone were measured in peripheral plasma and follicular fluid of women throughout the menstrual cycle. With the exception of prolactin, concentrations of pituitary and steroid hormones in follicular fluid correlated with those in peripheral plasma. Follicle-stimulating hormone was present in a greater number of small follicles (smaller than 8mm) during or just after the peaks of FSH in peripheral plasma. During the mid-follicular phase the concentration of both FSH and oestradiol in fluid from large follicles (larger than or equal to 8 mm) was high. During the late follicular phase the large follicles (larger than or equal to 8 mm) contained high amounts of progesterone in addition to oestradiol, low physiological levels of prolactin, and concentrations of LH and FSH about 30 and 60% respectively of those found in plasma. By contrast no large 'active' follicles (larger than or equal to 8 mm) were found during the luteal phase although many contained both LH and FSH. Luteinizing hormone was present in a proportion of small follicles (smaller than 8 mm) during the late follicular and early luteal but not at other stages of the menstrual cycle. It is suggested that a precise sequence of hormonal changes occur within the microenvironment of the developing Graafian follicle; the order in which they occur may be of considerable importance for the growth of that follicle and secretory activity of the granulosa cells both before and after ovulation."
1133566,"After two daily ovine prolactin injections in rats, significant increases in jejunal absorption of glucose, glycine and proline, as well as of fluid and NaCl, occurred. Although ouabain caused dramatic reductions in fluid, sodium, chloride and glucose transport, prolactin had an effect even in the presence of ouabain. Mucosal hypersomolaity significantly decreased fluid, sodium and chloride absorption but had no significant effect on glucose transport. Addition of prolactin in vitro had no effect on intestinal absorption. Prolactin-induced increases in transport of fluid, NaCl and organic nutrients by the mammalian jejunum may play an important role in nutritional and osmoregulatory adaptations."
1133567,"The fine structure of the zona pellucida of mouse unfertilized egg cells and of mouse embryos was investigated. In addition to standard fixation for electron microscopy, fixation with an addition of ruthenium red was used and found to be especially valuable for the purpose of studying the zona pellucida. The zona pellucida of unfertilized egg cells and of embryos consisted mainly of fibrillar and granular material. There were two layers: a thicker internal and a denser external layer in the zona pellucida of the unfertilized egg cells. The zona pellucida of embryos had, in addition to these two layers, a coarse-grained intimal layer inside the internal layer and a fine-grained peripheral cortical reaction whereas the peripheral layer can be accumulated and modified during the passage of the embryo through the female genital tract. The influence of developmental events and environmental factors on the fine structure of zona pellucida was discussed."
1133568,"The ability of caput, corpus, and cauda epididymal and vasa deferentia mouse sperm to fertilize eggs in vitro was investigated. Cauda epididymal sperm fertilized 45 of 54 ova, whereas caput and corpus sperm fertilized a negligible number of ova, thus indicating their immaturity. Vasa deferentia sperm fertilized only 10 of 52 ova and their reduced fertility may be due to aging in vivo. No difference in preimplantation development of the resulting zygotes with respect to the sperm source was observed. Three centrifugations and resuspensions of cauda epididymal sperm in fresh medium did not affect their fertilizing ability. I conclude that fertilization in vitro can occur after removal of epididymal secretions."
1133569,"Elimination of 137-Cs and 59-Fe by three species of wild rodents was measured in laboratory and field experiments to determine whether excretion rates of these nuclides are influenced directly by general metabolic (CO-2 production) rates. Sigmodon hispidus and Peromyscus leucopus were used in both field and laboratory experiments, and Reithrodontomys humulis was investigated only in the laboratory. Final-component biological half-lives (Tb) of 59-Fe for Sigmodon averaged 108 days in winter, 144 days in spring, and means ranged from 176 to 242 days under various laboratory conditions (ambient temperature, cold-exposure, irradiation, and chemical metabolic inhibition); for Peromyscus, values were 50 days in winter 47 days in spring, and 289 days (at ambient temperature only) in the laboratory; for Reithrodontomys mean values ranged from 121 to 178 days at different laboratory treatment levels. Biological half-lives of final-component 137-Cs elimination for Sigmodon averaged 7.5 days in winter, 7.9 days in spring, and means ranged from 7.7 to 8.6 days at the different treatment levels in the laboratory. Laboratory mean values for Reithrodontomys ranged from 3.5 to 3.9 days. For Peromyscus, Tb values averaged 3.4 days in winter, 3.6 days in spring, and 3.5 days in the laboratory. The data suggested that elimination of 59-Fe is influenced by metabolic rates of rodents in the field, but laboratory experiments were unable to demonstrate any predictable relationship. Neither did the rate of final-component 137-Cs loss from rodents appear to be influenced by metabolic rate in the laboratory or in the field. However, final-component Y-axis intercept values of 137-Cs exhibited a linear correlation with metabolic rates, and equations were derived from these intercept values to predict metabolism in the field for two species: for Sigmodon, Daily Average CO-2 Production (ml/hr/g, STP) [5.24-0.9172 (log-ea)] [0.886]; and for Reithrodontomys, = [12.51-1.80 (log-ea)] [0.886]."
1133571,The presence of microfibrillar structures in the nucleus and cytoplasm of Amoeba proteus has been described after glutaraldehyde and osmium fixation. The possible roles of cytoplasmic microfibrils in the contraction process of amoeba and nuclear microfibrils in the formation of the honeycomb nuclear lamina are discussed.
1133572,"UV irradiation of the vegetal pole of stage 2 X. laevis embryos with doses of 6000-18000 ergs/mm-2 delayed or inhibited cytokinesis in the vegetal hemisphere. Nuclear division continued so that a syncytium was formed, the size and persistence of which depended on the dose. Embryos which received a low UV dose were subsequently able to recover whereas embryos receiving a high dose were unable to gastrulate successfully. The implications for investigations into the role of cytoplasmic determinants are discussed."
1133573,"In X. laevis embryos injected with (3-H) thymidine between early gastrula and late neurula, the presumptive primordial germ cell nuclei were labelled and some were observed in mitosis, confirming that division occurs throughout this developmental period. In all labelled and mitotic cells, the germ plasm adjoined the nucleus, an observation which invalidates the hypothesis that germ plasm inhibits mitosis in presumptive primordial germ cells after gastrula. In embryos which had been irradiated with UV at the vegetal pole at the 2-cell stage, the presumptive primordial germ cells also incorporated (3-H) thymidine and divided during the same developmental period."
1133574,"Physical and nutritional factors required for growth of Bacteroides nodosus isolates from ovine foot-rot lesions were examined. Simplified anaerobic culture techniques were devised utilizing a fully soluble, autoclavable, liquid medium (TAS) which contained proteose-peptone, yeast and meat extracts and certain other essential compounds required to promote prompt and serially transferrable growth of cultures from small inocula. The latter included Trypticase, arginine, a reducing agent (most suitably thioglycollic acid) and CO2; serine and Mg2+ markedly increased growth yields. Trypticase could not be replaced by a commercial preparation of acid-hydrolysed casein; other forms of hydrolysed protein gave delayed and inconsistent growth. Maximum growth of cultures required concentrations of 0-02 to 0-35 M-arginine, which could not be replaced by glutamic acid, citrulline or ornithine. Exogenous carbohydrate compounds were not required. The temperature range for optimum growth of cultures was 37 to 39 degrees C, and anaerobic culture conditions were essential for growth and the production of B. nodosus organisms of normal morphology. Solidified TAS media for the isolation and maintenance of B. nodosus cultures were also devised."
1133575,"An agar-degrading bacterium, having a guanine-cytosine content of 50-5 mol% has been isolated from sewage. This Gram-negative rod grew well in a simple salts medium containing various carbohydrates. Growing bacteria dissolved gels and suspensions of agar and agarose rapidly, but did not attack cross-linked agars. Agarase was cell-bound in exponentially growing cultures but was released into the medium at stationary phase. Both cell extracts and culture filtrates released reducing sugars from agar solutions and prevented them from gelling. Gels were not dissolved by enzyme solutions, but the turbidity and iodine-binding properties of the agar were decreased."
1133586,"Choroid plexuses from adult rats were grafted to the kidneys of other rats of the same inbred strain. Almost all the grafts survived and exhibited a multiloculated pattern of choroidal papillae. Mild but progressive enlargement of the locules was probably caused by secretion of cerebrospinal fluid. Cyclophosphamide, a drug which damages the normally situated plexus, had similar but milder effects on the plexus implants. Isografts should prove useful for other studies of choroid plexus structure and function."
1133587,"Replicas of the perineurium of rabbit sciatic nerve fascicles show extensive zonulae occludentes between the flattened cells of each perineuriallamella. The junctions formed by the zonulae occludentes are of the morphologically 'tight' type. Therefore, theyare likely to represent the anatomical site of the diffusion barrier previously demonstrated by other morphological and physiological methods. Neighbouring perineurial lamellae are connected to one another by numerous maculae occludentes, some of which lie on thelateral processes of the perineurial cells. Within the meshes of the maculae occludentes and close tothem, small gap junctions can be observed."
1133588,"The synaptic organization of the fleshfly (Boettcherisca peregrina) ocellus has been studied by transmission electron microscropy. Three types of neuronal element are recognized in the ocellus: (1) 70-100 retinula axons (2) four thick ocellar nerve fibres and(3) several thin ocellar nerve fibres. Synaptic connections accompanied by characteristic presynaptic ribbons have been found between these three elements in five combinations. Four of these are numerous (retinula axons symapsing onto thick ocellar nerve fibres or onto thin ocellar fibres; thin ocellar nerve fibres synapsing onto thick ocellar nerve fibres or onto other thin ocellar fibres). On or two of the thin ocellar nerve fibres are mainly presynaptic elements. The remaining thin fibres are both pre-and postsynaptic. These observations suggest that the thick ocellar nerve fibres are afferent and at least one or two of the thin ocellar nerve fibres are efferent. The function of the remaining thin fibres is not known. The fifth combination is a feedback synapse from thin ocellar nerve fibres onto retinula oxons. In addition, neuro-glial synapses have been found between thin ocellar nerve fibres and glial cells. The latter two combinations are less common and may provide alternative neuronal pathways for processingocellar input."
1133589,"Pleomorphic vesicles in two different classes of 'flat-vesicle-containing profiles'(F-profiles) from the superficial layers of the superior colliculus of Galago and chimpanzee were found to be disk-like in shape as revealed by tilt analysis. In both primates, presynaptic dendrites, postsynaptic F-profiles and exclusively presynaptic F-profiles cannot be distinguished on the basis of vesicle morphology. This lends to support to the notion that F-profiles originate from one type of neuron. Modifications of the basic disk shape are interpreted as manifestations of different stages in the life cycle of individual vesicles."
1133590,"Teratomas are tumours which may arise spontaneously in the testis or ovary or may be induced experimentally by the implantation of young embryos into ectopic sites. In this study the nervous tissue within mouse teratomas was investigated by light and electronmicroscopy. Characteristic neuroepithelial tubules, neurons, glia and neuropil were recognized and showed no ultrastructural abnormality apart from collagenous infiltration. Synapses were frequently observed. However, other features of mature C.N.S. tissue including myelin and complex synaptic configurations were never seen, and it was not possible to recognize distinct classes of neurons, or organizations of cells and processes which characterized specific regions of the C.N.S. The limited differentiation of the nervous tissue of teratomas is discussed with reference to the normal development of C.N.A. in vivo and in vitro. The presence of synapses in the nervous tissue of teratomas is interpreted as a reflection of an intrinsic tendency of neuronal processes to form these specialized contacts even under conditions which prevent the development of certain other characteristics of nervous tissue."
1133591,"When certain intracellular and extracellular localities known to be rich in protein complexes are fixed and processed for electron microscopy, they show a reticulate precipitate which represents three-dimensional framework of material that forms the wall of polygonal lacunae. This is referred to as a stereoframework. Examples of a stereoframework described her include the presynaptic dense projections, cleft substance, postsynaptic density, the cytonet, coats of coated vesicles, reticulosomes, 'microfilamentous' network of growth cones, the glycocalyx of gut microvilli, blood plasma, precipitates of the Golgi apparatus, the chromatin of nuclei and the nuclear pore complex. The stereoframeworkappears most electron-dense when it has a very close mesh, e.g. as in the case of the dense projections. The stereoframework is assumed to have no direct relationship with themolecular architecture of the protein complexes in vivo and so can be regarded as a denaturization and precipitation artifact. This being so, attempts to elucidate the substructure of the above entities simply by inspection are fruitless. Furthermore, evidence is given that stereoframework precipitation can distort or completely obliterate organelles occupying the same locality, for example this could apply to structures such as actin filaments (perhaps running into the locality marked by a dense projection), microtubules(running into the presynaptic bag), smooth ER, tenuous connections between synaptic vesicles and the presynaptic membrane, structures within the nuclear pore complex and chromosome substructures in the nucleus. Finally it is suggested that the flat shape of synaptic vesicles (at inhibitory synapses) may be a distortion effect imposed upon the synaptic vesicles not as a result of osmotic effects, but as a conformation to the shape of a stereoframework which has been precipitated from protein complexes in the vicinity ofthe synaptic vesicles."
1133592,"Sensory ganglia from 9-day chick embryos were grown on collagen coated coverslips for36 h in the presence of nerve growth factor, producing a profuse neuritic outgrowth. The cultures were then incubated for varying periods in a colloidal suspension of thorium dioxide, and the pinocytotic uptake of this marker was followed by electron microscopy. Following brief exposures (3 min), most of the labelled organelles consisted of smooth surfaced vesicles and vacuoles; with longer exposures, the bulk of the marker accumulated first in cup-shaped pre-multivesticular bodies and ultimately in multivesicular bodies. The marker was also taken up into coated vesicles, dense-cored and electron lucent tubules,dense-cored vesicles and dense bodies of the multi-layered myelin body configuration. In addition, evidence suggestive of exocytosis was also obtained; views of apparent fusion of labelled multivesicular bodies with the plasmalemma involving extrusion of vesiclesand marker particles into the extracellular space were regularly encountered following long exposures."
1133593,"The ultrastructure of synaptic junctions in whole brain tissue and isolated synaptic membranes has been compared. Type 1 junctions are present in the isolated membranes,readily identified by the presence of dense-staining material associated with the postsynaptic membrane, but the dense projections present at the presynaptic membrane in intact tissue are absent. Type 2 junctions are not easily recognized because of the absence of prominent junctional densities, but apposed membranes with the appearance of type 2 junctions are seen in isolated membrane preparations. Junctions without dense-staining material are also seen among SYNAPtosomes and survive the hypotonic conditions used during isolation of the membranes. It thus seems probable that both type 1 and 2 junctions are present in isolated synaptic membrane preparations. In type 1 junctions after isolation,the postsynaptic thickening and cleft substance are together seen to be composed of an array of 200 A dense-staining subunits spanning the postsynaptic unit membrane. The relationship of this structure to the ultrastructure of the cleft substance and postsynapticthickening in intact tissue is discussed."
1133594,Synaptic membranes can be treated with detergents to yield postsynaptic densities from which the lipid unit membrane has been removed. The ultrastructure of these densities is identical to THAT of the synaptic lattice observed in undigested synaptic membranes; a1000-3000 A diameter planar array of 200 A diameter dense-staining subunits. The persistence of this synaptic lattice in the absence of lipid membrane may reflect a functional role in the maintenance of defined synaptic junctional structures in intact tissue.
1133648,"We have recently developed an immunoassay that can measure thyroxine rapidly and accurately in the eluate of 40 mul of dried blood spotted on filter paper at the fifth day of life. The method is completely automated and by using the samples received by the Central Laboratory of the Quebec Network for Genetic Medicine and their follow-up facilities, we are now screening every newborn in the province of Quebec for neonatal hypothyroidism. To date, from 47,000 measurements, three newborn infants with abnormally low TBG and seven hypothyroid infants have been detected. From these data we conclude that the frequency of congenital hypothyroidism is about one in 7,000 births and that our method is effective in detecting thyroid hormone abnormalities with an acceptable percentage of false positive measurements; no false negative results have occurred to our knowledge."
1133649,"Focal biliary cirrhosis is an uncommon finding in infants with cystic fibrosis, but it is present in more than a fifth of surviving children and adolescents. It was found at postmortem examination in only five of 47 infants with CF younger than 3 months, in five of 32 infants from 3 to 12 months, and in 18 of 67 children older than 1 year. In infants under 3 months, excessive mucus in intrahepatic bile ducts was seen in 11 necropsies; in 15 others there were only nonspecific periportal changes. Cholestasis was found in the livers of 18 of the 26 infants. Excessive mucus in the biliary tree was occasionally associated with periportal changes and cholestasis in older infants. The periportal changes, which are regarded as nonspecific, were never found in infants more than 1 year of age."
1133650,"The frequency of coronary risk factors was documented in 4,829 school children in Muscatine, Iowa, over a 14-month period of time. Serum cholesterol levels were similar for children at all ages; the mean serum cholesterol level was 182 mg/dl (SD lus or minus 29). Twenty four percent had levels larger than or equal to 200 mg/dl, 9% were larger than or equal to 220 mg/dl, 3 % were larger than or equal to 240 mg/dl, and 1% were larger than or equal to 260 mg/dl. Casual levels of serum triglyceride increased with age: the mean level was 71 mg/dl (SD plus or minus 36) at age 6 years and 108 mg/dl (SD plus or minus 45) at age 18 years. Only 15% of the children had serum triglyceride levels of 140 mg/dl or more. Blood pressure increased strikingly with age. No child between 6 and 9 years of age had blood pressures larger than or equal to 140 mm Hg systolic or larger than or equal to 90 mm Hg diastolic. In the age group 14 to 18 years, 8.9% had systolic blood pressures larger than or equal to 140 mm Hg, 12.2% had diastolic blood pressures larger than or equal to 90 mm Hg, and in 4.4% both pressures were at or above these levels. Obesity also increased through the school years. At ages 6 to 9 years, 20% had weights relative to those of the group as a whole of larger than or equal to 110%, and 5% were larger than or equal to 130%; in the 14 to 18 years age group, 25% had relative weights of larger than or equal to 110%, and 8% were larger than or equal to 130%. These data indicate that a considerable number of school-age children have risk factors which in adults are predictive of coronary heart disease."
1133651,"Propionyl CoA carboxylase deficiency was found in a 7-month-old boy who presented with attacks of vomiting, anorexia, weight loss, weakness, and hypotonia. He failed to thrive and had generalized seizures. He had propionic acidemia and hyperglycinemia; these are the manifestations of the ketotic hyperglycinemia syndrome. However, ketonuria was not a consistent part of his clinical picture, and he had at least two episodes of acute overwhelming illness, the latter one fatal, in which ketones were never found in the urine. Large amounts of pyrrolidone carboxylic acid were found in body fluids."
1133652,"Evaluation of 19 patients with the Williams elfin facies syndrome, in order to more completely delineate the total spectrum of the disorder, indicates that ""infantile hypercalcemia, peculiar facies, supravalvular aortic stenosis"" designation which was heretofore used is inappropriate. Only 32% of the patients have evidence of supravalvular aortic stenosis and not one of them has had documented hypercalcemia, including eight patients who had a serum calcium determination in the first year of life. Rather, the most consistent features are growth deficiency which is predominantly of postnatal onset, mild microcephaly with mental deficiency, and an altered pattern of facial development which includes short palpebral fissures, a stellate pattern in the iris, medial eyebrow flare, a depressed nasal bridge with anteverted nares, and thick lips. The disorder is a sporadic occurrence of unknown etiology."
1133653,"Eight patients in three families had mental retardation, characteristic facies and hands, and skeletal changes; the clinical features suggested to us that they had a syndrome previously thought to represent two entities described by Lowry and associates and by Coffin and associates, respectively. New findings include skeletal, orodental, and dermatoglyphic abnormalities and histopathologic changes suggesting that the syndrome is a heritable disorder of connective tissue. Severe expression in males and transmission through mildly affected females suggest X-linked or sex-influenced autosomal dominant inheritance."
1133654,Fetal and infant hips were analyzed in an attempt to explain some of the observed complications (particularly avascular necrosis) encountered in the treatment of hip dysplasia. Gross manipulation showed a tight interlocking of the acetabular labrum into the intertrochanteric notch of the proximal femur in the commonly used treatment positions that emphaized positional extremes. Injection studies corroborated vascular occlusion at three major sites when such positions were maintained. Marked abduction appeared to be the important position to avoid during treatment.
1133659,"Cord blood from 16 premature infants and 10 full-term infants, and blood from 10 healthy adults, was incubated for 30 minutes with tritiated thymidine, after which an autoradiographic study was made of spontaneously labeling cells. Apart from a varying number of erythroblasts, myelocytes, and an occasional blast cell, two main types of spontaneously labeling cells were observed: transitional cells and large lymphoid cells, previously shown to be phagocytic. Spontaneously labeling cells were 12 times more frequent in cord blood of premature and full-term infants than in the blood of adults. No transitional cells were seen in adult blood."
1133662,Seventeen constitutionally short boys were studied throughout puberty. Nine received oxandrolone (0.1 mg/kg/day). Treatment was started before onset of puberty. Eight boys served as control subjects. No significant increase in linear growth or skeletal maturation was observed in the treated group. Likewise the peak height velocity was unchanged. Pubic hair developed similarly in both groups in relation to chronologic and skeletal age. The only significant difference was a diminution in testicular volume index during treatment after bone age of 12 years and until bone age of 14 6/12 years.
1133663,"Previously published data of plasma concentrations and pharmacologic effects obtained after rapid intravenous injection and during constant rate intravenous infusion of theophylline in asthmatic children were analyzed pharmacokinetically to determine the relationship between effect on pulmonary function (improvement of forced expiratory volume in the first second) and drug level. The pharmacokinetics of distribution and elimination of theophylline are well described by a linear two-compartment open model consisting of a central and a tissue compartment. There is an essentially linear correlation between the intensity of effect and the logarithm of the amount of drug in the tissue compartment. This correlation exists both with decreasing and increasing drug concentrations, i.e., after intravenous injection and during intravenous infusion of theophylline."
1133664,"The administration of Na benzoate to grown and suckling Gunn rats in single doses of 7 and 35 mg/kg failed to significantly alter serum bilirubin concentrations. These doses are comparable to quantities of Na benzoate contained in injectable diazepam used therapeutically for newborn infants. Repeated doses of 7 mg/kg in the grown rat showed no effect, as well. A single dose of 100 or 200 mg/kg of Na benzoate and repeated doses of 35 mg/kg resulted in depressed serum bilirubin concentrations. The higher concentrations of Na benzoate, however, greatly exceed amounts contained in doses of diazepam recommended for clinical use in the human neonate. The data suggest that the use of injectable diazepam, in appropriate quantities, poses no hazard to the newborn infant in terms of bilirubin toxicity. The greater affinity for bilirubin of human albumin, than that of rat albumin, may further minimize the risk."
1133680,"A reinvestigation of the constituents of the Osage orange (maclura pomifera) yielded, in addition to the previously reported triterpenses (lupeol, butyrospermol, and lupan-3beta,20-diol), the pigments osajin and pomiferin, and a previously unreported constituent. The structure of this new compound was investigated. On the basis of spectroscopic and chemical data, it appeared to be an epimer of lupeol and is referred to as 19alpha-H-lupeol."
1133681,"In a clinical study involving 22 normal adult volunteers, the bioavailability and pharmacokinetics of prednisone tablets with varying dissolution rates were evaluated. Serum levels were measured by a radioimmunoassay for prednisolone. Absorption rate constants and serum half-lives are presented. Substantial serum levels of prednisolone were attained quite rapidly (within 0.5 hr). The observed serum levels were statistically analyzed and fitted to the one-compartment open model with first-order absorption and elimination. A qualitative correlation between the in vitro dissolution rate and the calculated initial absorption rate constants was found. However, the in vitro dissolution rates were not predictive of the overall bioavailability of the prednisone tablets tested in terms of peak concentration and area under the serum concentration-time curve."
1133682,"A technique for serial sampling of whole blood, plasma, or serum from unanesthetized, unrestrained rats is described. This technique is sufficiently rapid, reliable, and independent of the need for elaborate preparation, specialized equipment, or practiced skills to appeal to a wide range of experimental and teaching situations requiring multiple sampling from many animals. A simple surgical procedure implants a one-piece jugular cannula cut from a commercial coil of silicone polymer tubing. Multiple blood samples are almost immediately available for 5 weeks or more. Plasma or serum samples are readily obtainable from each blood sample without transfer from the syringe in which it is collected. Intravenous injection through the cannula does not prejudice later sampling protocol."
1133683,A spectrophotofluorometric method is described for the assay of thioguanine. The assay involves the oxidation of thioguanine with potassium permanganate to a fluorescent product. The method is suitable for routine quality control in laboratory preparations of thioguanine.
1133685,"The commonly used 4-aminoantipyrine dye formation procedure for hexachlorophene analysis in topical formulations was modified to overcome interference due to other components. Bar soaps and nonemulsion formulations are analyzed directly, employing a chloroform back-extraction stage of the dye prior to quantitation. Hexachlorophene in emulsions and liquid soaps is determined using a TLC separation prior to dye formation."
