Title,Journal,PMID,Year,x,y,Labels,Colors
Mitosis in presumptive primordial germ cells in post-blastula embryos of Xenopus laevis.,The Journal of experimental zoology,1133573,1975.0,-76.582,82.454,unlabeled,#D3D3D3
Determination of some in vitro growth requirements of Bacteroides nodosus.,Journal of general microbiology,1133574,1975.0,-140.83,26.596,microbiology,#B79762
Degradation of agar by a gram-negative bacterium.,Journal of general microbiology,1133575,1975.0,-72.913,-4.436,microbiology,#B79762
Choroid plexus isografts in rats.,Journal of neuropathology and experimental neurology,1133586,1975.0,-46.561,96.421,neurology,#009271
Freeze-fracture faces of the perineurial sheath of the rabbit sciatic nerve.,Journal of neurocytology,1133587,1975.0,-37.425,85.82,unlabeled,#D3D3D3
Synaptic organization of the fleshfly ocellus.,Journal of neurocytology,1133588,1975.0,-70.838,60.306,unlabeled,#D3D3D3
Tilt analysis of pleomorphic vesicles in the superficial layers of the superior colliculus of Galago and chimpanzee.,Journal of neurocytology,1133589,1975.0,-25.2,90.048,unlabeled,#D3D3D3
A light  and electron microscopical study of the nervous tissue of mouse teratomas.,Journal of neurocytology,1133590,1975.0,-37.258,79.668,unlabeled,#D3D3D3
"Synaptic fine structure and nuclear, cytoplasmic and extracellular networks: The stereoframework concept.",Journal of neurocytology,1133591,1975.0,-38.071,83.356,unlabeled,#D3D3D3
Pinocytotic uptake and intracellular distribution of colloidal thorium dioxide by cultured sensory neurites.,Journal of neurocytology,1133592,1975.0,-36.188,81.722,unlabeled,#D3D3D3
Junctional ultrastructure in isolated synaptic membranes.,Journal of neurocytology,1133593,1975.0,-37.464,85.237,unlabeled,#D3D3D3
Ultrastructure of the synaptic junctional lattice isolated from mammalian brain.,Journal of neurocytology,1133594,1975.0,-37.825,84.566,unlabeled,#D3D3D3
Preliminary report on a mass screening program for neonatal hypothyroidism.,The Journal of pediatrics,1133648,1975.0,45.033,39.256,pediatric,#004D43
Hepatic changes in young infants with cystic fibrosis: possible relation to focal biliary cirrhosis.,The Journal of pediatrics,1133649,1975.0,118.38,61.87,pediatric,#004D43
Coronary heart disease risk factors in school children: the Muscatine study.,The Journal of pediatrics,1133650,1975.0,73.331,-61.312,pediatric,#004D43
Hyperglycinemia and propionyl coA carboxylase deficiency and episodic severe illness without consistent ketosis.,The Journal of pediatrics,1133651,1975.0,79.146,83.312,pediatric,#004D43
The Williams elfin facies syndrome. A new perspective.,The Journal of pediatrics,1133652,1975.0,119.413,86.653,pediatric,#004D43
The Coffin-Lowry syndrome: an inherited faciodigital mental retardation syndrome.,The Journal of pediatrics,1133653,1975.0,118.014,86.084,pediatric,#004D43
Treatment positions for congenital dysplasia of the hip.,The Journal of pediatrics,1133654,1975.0,195.614,-69.65,pediatric,#004D43
Cells in spontaneous DNA synthesis in cord blood of premature and full-term newborn infants. An autoradiographic study.,The Journal of pediatrics,1133659,1975.0,-71.703,139.287,pediatric,#004D43
"Oxandrolone treatment of constitutional short stature in boys during adolescence: effect on linear growth, bone age, pubic hair, and testicular development.",The Journal of pediatrics,1133662,1975.0,44.248,34.93,pediatric,#004D43
Pharmacokinetic analysis of the effect of theophylline on pulmonary function  in asthmatic children.,The Journal of pediatrics,1133663,1975.0,4.114,-4.051,pediatric,#004D43
The effect of Na benzoate on serum bilirubin of the Gunn rat.,The Journal of pediatrics,1133664,1975.0,0.395,77.538,pediatric,#004D43
Isolation of 19alpha-H-lupeol from Maclura pomifera.,Journal of pharmaceutical sciences,1133680,1975.0,-206.69,49.558,unlabeled,#D3D3D3
Bioavailability and pharmacokinetics of prednisone in humans.,Journal of pharmaceutical sciences,1133681,1975.0,15.303,-0.711,unlabeled,#D3D3D3
Simple and reliable method for serial sampling of blood from rats.,Journal of pharmaceutical sciences,1133682,1975.0,33.735,84.49,unlabeled,#D3D3D3
Fluorometric assay of thioguanine.,Journal of pharmaceutical sciences,1133683,1975.0,-116.526,-70.572,unlabeled,#D3D3D3
Colorimetric analysis of hexachlorophene in topical formulations.,Journal of pharmaceutical sciences,1133685,1975.0,-93.843,-56.249,unlabeled,#D3D3D3
Determination of sorbitol and mannitol in pharmaceuticals by GLC of tris-n-butyldiboronate esters.,Journal of pharmaceutical sciences,1133686,1975.0,-94.083,-51.06,unlabeled,#D3D3D3
Chemistry of nonaqueous titration of chlopromazine.,Journal of pharmaceutical sciences,1133687,1975.0,-116.204,-73.801,unlabeled,#D3D3D3
GLC determination of saccharin in pharmaceutical products.,Journal of pharmaceutical sciences,1133688,1975.0,-94.451,-50.966,unlabeled,#D3D3D3
Drying rates of tablet granulations I: effect of certain granulating adjuvants on drying rates.,Journal of pharmaceutical sciences,1133689,1975.0,-113.778,-29.39,unlabeled,#D3D3D3
Chromatography on lipophilic dextran gels for fractionation of low molecular weight compounds I: steroid digitonides.,Journal of pharmaceutical sciences,1133693,1975.0,-96.405,-44.136,unlabeled,#D3D3D3
Disintegration properties of calcium phosphate dibasic dihydrate tablets.,Journal of pharmaceutical sciences,1133695,1975.0,-114.766,-28.553,unlabeled,#D3D3D3
Improved synthesis of 18-hydroxydeoxycorticosterone.,Journal of pharmaceutical sciences,1133696,1975.0,-214.768,5.539,unlabeled,#D3D3D3
Simple isolated perfused artery preparation: vasoconstrictor evaluation.,Journal of pharmaceutical sciences,1133697,1975.0,35.66,120.991,unlabeled,#D3D3D3
N-Substituted indanamines as potential hypoglycemic agents.,Journal of pharmaceutical sciences,1133698,1975.0,-185.755,88.267,unlabeled,#D3D3D3
Solubility of nonelectrolytes in polar solvents III: Alkyl p-aminobenzoates in polar and mixed solvents.,Journal of pharmaceutical sciences,1133705,1975.0,-149.743,-37.266,unlabeled,#D3D3D3
Timed release from polymeric films containing drugs and kinetics of drug release.,Journal of pharmaceutical sciences,1133709,1975.0,-115.26,-26.136,unlabeled,#D3D3D3
Chemical constituents of gentianaceae XIV: tetraoxygenated and pentaoxygenated xanthones of Swertia purpurascens Wall.,Journal of pharmaceutical sciences,1133711,1975.0,-202.727,52.991,unlabeled,#D3D3D3
Antitumor agents II: nitrogen analogs of mycophenolic acid.,Journal of pharmaceutical sciences,1133712,1975.0,-185.817,75.673,unlabeled,#D3D3D3
Hydrodynamic analog model for pharmacokinetics I: model and its usefulness.,Journal of pharmaceutical sciences,1133713,1975.0,2.86,-3.782,unlabeled,#D3D3D3
Nonliner tissue disposition: salicylic acid in rat brain.,Journal of pharmaceutical sciences,1133714,1975.0,4.924,-2.787,unlabeled,#D3D3D3
Synthesis of 2-(N-arylcarboxamide)-3-substituted ethoxyindoles and their monoamine oxidase inhibitory and anticonvulsant activities.,Journal of pharmaceutical sciences,1133715,1975.0,-191.347,92.704,unlabeled,#D3D3D3
Assay of sulfacetamide sodium ophthalmic solutions by high-pressure liquid chromatography.,Journal of pharmaceutical sciences,1133718,1975.0,-93.233,-55.895,unlabeled,#D3D3D3
GLC analysis of griseofulvin: a collaborative study.,Journal of pharmaceutical sciences,1133719,1975.0,-93.374,-56.79,unlabeled,#D3D3D3
Drying rates of tablet granulations II: effect of particle size and granular densities.,Journal of pharmaceutical sciences,1133720,1975.0,-113.872,-29.326,unlabeled,#D3D3D3
"Automated high-pressure liquid chromatographic analysis of aspirin, phenacetin, and caffeine.",Journal of pharmaceutical sciences,1133721,1975.0,-93.257,-55.153,unlabeled,#D3D3D3
Timed-release tablets containing quinine sulfate.,Journal of pharmaceutical sciences,1133722,1975.0,-115.501,-25.591,unlabeled,#D3D3D3
Comparison of observed and predicted bioavailability of nortriptyline in humans following oral administration.,Journal of pharmaceutical sciences,1133723,1975.0,9.247,-4.051,unlabeled,#D3D3D3
Effects of acids and bases on salicylic acid-cetrimide systems.,Journal of pharmaceutical sciences,1133724,1975.0,-134.139,-40.533,unlabeled,#D3D3D3
Colorimetric determination of formaldehyde via free radical formation.,Journal of pharmaceutical sciences,1133726,1975.0,-132.156,53.384,unlabeled,#D3D3D3
GLC analysis of metronidazole in human plasma.,Journal of pharmaceutical sciences,1133729,1975.0,-93.221,-51.451,unlabeled,#D3D3D3
Determination of 17-hydroxycorticosteroids in human urine.,Journal of pharmaceutical sciences,1133730,1975.0,-93.803,-43.899,unlabeled,#D3D3D3
Fluorocarbon aerosol propellants V: binding interaction with human albumin.,Journal of pharmaceutical sciences,1133731,1975.0,-114.404,-84.854,unlabeled,#D3D3D3
Drug release from a lipophilic ointment base as influenced by chain length of added surfactant.,Journal of pharmaceutical sciences,1133732,1975.0,-116.855,-26.569,unlabeled,#D3D3D3
Preparation and Baeyer-Villiger Reaction of certain 2-carbalkoxycyclopropyl methyl ketones.,Journal of pharmaceutical sciences,1133733,1975.0,-215.254,-8.85,unlabeled,#D3D3D3
Synthesis and biological evaluation of 2-(9-acridinyl)ethyl-N-substituted carbamates and their hydrochlorides and 10-N-oxides.,Journal of pharmaceutical sciences,1133734,1975.0,-195.0,76.468,unlabeled,#D3D3D3
Bioavailability of aspirin from commercial suppositories.,Journal of pharmaceutical sciences,1133735,1975.0,14.929,-0.238,unlabeled,#D3D3D3
Central versus peripheral anticholinergic activity as assessed by two in vivo procedures in mice.,Journal of pharmaceutical sciences,1133736,1975.0,7.478,182.365,unlabeled,#D3D3D3
Tissue distribution of N-14-C-azure C (methylthionine) in the rat.,Journal of pharmaceutical sciences,1133737,1975.0,-42.457,43.882,unlabeled,#D3D3D3
Vehicle effects on ocular drug bioavailability i: evaluation of fluorometholone.,Journal of pharmaceutical sciences,1133744,1975.0,45.661,-4.154,unlabeled,#D3D3D3
Radioimmunoassay of chlordiazepoxide in plasma.,Journal of pharmaceutical sciences,1133745,1975.0,-90.196,-48.816,unlabeled,#D3D3D3
Effect of dilution on reactivity and structure of aluminum hydroxide gel.,Journal of pharmaceutical sciences,1133746,1975.0,-119.824,-78.687,unlabeled,#D3D3D3
Evaluation of a dynamic permeation technique for studying drug-macromolecule interactions.,Journal of pharmaceutical sciences,1133747,1975.0,-121.076,-27.145,unlabeled,#D3D3D3
Chlorpromazine metabolism IV: quaternization as a key to determination of picomoles of chlorpromazine and other tertiary amine drugs.,Journal of pharmaceutical sciences,1133748,1975.0,-101.604,-51.378,unlabeled,#D3D3D3
"Synthesis of 5-(3, 3-disubstituted-1-triazenyl) imidazole-4-carbonitriles.",Journal of pharmaceutical sciences,1133749,1975.0,-187.304,73.817,unlabeled,#D3D3D3
Interaction of metronidazole with metallic ions of biological importance.,Journal of pharmaceutical sciences,1133750,1975.0,-182.776,-39.392,unlabeled,#D3D3D3
Linear relationships between plasma binding and lipophilicity of disopyramide derivatives.,Journal of pharmaceutical sciences,1133751,1975.0,-148.72,-36.301,unlabeled,#D3D3D3
Selecting key parameters in pharmaceutical formulations by principal component analysis.,Journal of pharmaceutical sciences,1133752,1975.0,-112.904,-31.401,unlabeled,#D3D3D3
Aqueous mixture of pyrrolidone-5-hydroxamic acid-iron (III) complexes: isolation and characterization of tris (pyrrolidone-5-hydroxamato) iron (III).,Journal of pharmaceutical sciences,1133753,1975.0,-180.543,-37.258,unlabeled,#D3D3D3
Specific TLC tissue residue determination of sulfadiazine following fluorescamine derivatization.,Journal of pharmaceutical sciences,1133754,1975.0,-95.844,-60.412,unlabeled,#D3D3D3
"Predicting subjective spreadability, viscosity, and stickiness.",Journal of pharmaceutical sciences,1133755,1975.0,-26.178,-100.279,unlabeled,#D3D3D3
Electronic spectra and electronic structures of some antimicrobials derived from proflavine.,Journal of pharmaceutical sciences,1133756,1975.0,-194.577,29.017,unlabeled,#D3D3D3
"Effect of surfactants on absorption through membranes III: effects of dioctyl sodium sulfosuccinate and poloxalene on absorption of a poorly absorbable drug, phenolsulfonphthalein, in rats.",Journal of pharmaceutical sciences,1133757,1975.0,-110.734,-22.252,unlabeled,#D3D3D3
"Effect of surfactants on absorption through membranes IV: effects of dioctyl sodium sulfosuccinate on absorption of a poorly absorbable drug, phenolsulfonphthalein, in humans.",Journal of pharmaceutical sciences,1133758,1975.0,-20.809,50.248,unlabeled,#D3D3D3
"Determination of (plus or minus)-1, 2-bis(3, 5-dioxopiperazinyl) propane plasma levels in rats, rabbits, and humans by GLC and mass fragmentography.",Journal of pharmaceutical sciences,1133759,1975.0,8.445,-3.016,unlabeled,#D3D3D3
Desensitization of the adrenergic neurons of the isolated rabbit ear artery to nicotinic agonists.,The Journal of pharmacology and experimental therapeutics,1133760,1975.0,-0.368,173.967,pharmacology,#5B4534
Blood pressure and heart rate responses evoked by d- and l-amphetamine in the pithed rat preparation.,The Journal of pharmacology and experimental therapeutics,1133761,1975.0,32.804,124.01,pharmacology,#5B4534
Effects of chronic oral contraceptive treatment on the conversion of angiotensin I to angiotensin II in the rat.,The Journal of pharmacology and experimental therapeutics,1133762,1975.0,28.801,118.131,pharmacology,#5B4534
The effects of ajmaline in experimental and clinical arrhythmias and their relation to some electrophysiological parameters of the heart.,The Journal of pharmacology and experimental therapeutics,1133763,1975.0,43.401,122.994,pharmacology,#5B4534
Effects of bretylium on rat cardiac muscle: the electrophysiological effects and its uptake and binding in normal and immunosympathectomized rat hearts.,The Journal of pharmacology and experimental therapeutics,1133764,1975.0,-17.437,178.082,pharmacology,#5B4534
The effects of dimethyl quaternary propranolol on the electrophysiologic properties of canine cardiac Purkinje fibers.,The Journal of pharmacology and experimental therapeutics,1133765,1975.0,-17.623,178.027,pharmacology,#5B4534
Alteration in calcium metabolism as a mechanism for pyridine aldoxime methochloride (2-PAM) cardiac action in rabbit atria.,The Journal of pharmacology and experimental therapeutics,1133766,1975.0,-2.942,179.041,pharmacology,#5B4534
Distribution and metabolism of intravenously administered choline[methyl- 3-H] and synthesis in vivo of acetylcholine in various tissues of guinea pigs.,The Journal of pharmacology and experimental therapeutics,1133767,1975.0,-21.931,47.912,pharmacology,#5B4534
Tracer microinjection studies of prostaglandin E-2 transport in the rat nephron.,The Journal of pharmacology and experimental therapeutics,1133768,1975.0,28.765,109.734,pharmacology,#5B4534
Alteration by phenobarbital and 3-methyl-cholanthrene of functional and structural changes in rat liver due to carbon tetrachloride inhalation.,The Journal of pharmacology and experimental therapeutics,1133769,1975.0,-25.242,56.572,pharmacology,#5B4534
Membrane permeability changes during stimulation of isolated salivary glands of Calliphora by 5-hydroxytryptamine.,The Journal of physiology,1133770,1975.0,-8.93,175.916,physiology,#E83000
The effects of maintained light stimulation on S-potentials recorded from the retina of a teleost fish.,The Journal of physiology,1133771,1975.0,-27.289,-157.671,physiology,#E83000
"Excitatory, inhibitory and biphasic synaptic potentials mediated by an identified dopamine-containing neurone.",The Journal of physiology,1133772,1975.0,-7.435,171.249,physiology,#E83000
Absence of polyneuronal innervation in cat extraocular muscles.,The Journal of physiology,1133773,1975.0,-31.066,95.797,physiology,#E83000
Comparison of the actions  of porcine secretin and extracts of chicken duodenum on pancreatic exocrine secretion in the cat and turkey.,The Journal of physiology,1133774,1975.0,21.898,83.172,physiology,#E83000
Anomalous rectification in horizontal cells.,The Journal of physiology,1133775,1975.0,-75.743,206.82,physiology,#E83000
Physiological properties of junctions between nerve and muscle developing during salamander limb regeneration.,The Journal of physiology,1133776,1975.0,-7.472,174.131,physiology,#E83000
The effects of graded forelimb afferent volleys on acetylcholine release from cat sensorimotor cortex.,The Journal of physiology,1133777,1975.0,43.545,140.497,physiology,#E83000
Effect of destruction of the posterior pituitary on the diuresis from left atrial receptors.,The Journal of physiology,1133778,1975.0,39.191,126.93,physiology,#E83000
Endocrine responses to insulin hypoglycaemia in the young calf.,The Journal of physiology,1133779,1975.0,36.114,118.283,physiology,#E83000
Release of catecholamines and dopamine beta-hydroxylase from the perfused adrenal gland of the cat.,The Journal of physiology,1133780,1975.0,0.694,173.842,physiology,#E83000
Ionic currents in the uterine smooth muscle.,The Journal of physiology,1133781,1975.0,-15.271,172.499,physiology,#E83000
An experimental method of identifying and quantifying the active transfer electrogenic component from the diffusive component during sugar absorption measured in vivo.,The Journal of physiology,1133782,1975.0,-33.066,155.996,physiology,#E83000
Comparison of the hyperglycaemic effect of adrenaline and morphine introduced into the liquor space.,The Journal of physiology,1133783,1975.0,34.006,133.939,physiology,#E83000
The effect of substances releasing intracellular calcium ions on sodium-dependent calcium efflux from guinea-pig auricles.,The Journal of physiology,1133784,1975.0,-20.24,173.4,physiology,#E83000
The functional status and columnar organization of single cells responding to cutaneous stimulation in neonatal rat somatosensory cortex S1.,The Journal of physiology,1133785,1975.0,39.505,142.215,physiology,#E83000
The requirements of the brain for some amino acids.,The Journal of physiology,1133786,1975.0,4.471,83.224,physiology,#E83000
The relation between the surface electromyogram and muscular force.,The Journal of physiology,1133787,1975.0,-9.45,-111.342,physiology,#E83000
Binocular interaction in the cat's superior colliculus.,The Journal of physiology,1133788,1975.0,-25.127,-152.829,physiology,#E83000
Rod-rod interaction in the retina of the turtle.,The Journal of physiology,1133789,1975.0,46.201,-17.63,physiology,#E83000
Cones excite rods in the retina of the turtle.,The Journal of physiology,1133790,1975.0,-27.377,-157.691,physiology,#E83000
Characteristics of renin release from isolated superfused glomeruli in vitro.,The Journal of physiology,1133791,1975.0,-30.657,166.408,physiology,#E83000
Effects of post-operative visual environments on reorganization of retinotectal projection in goldfish.,The Journal of physiology,1133792,1975.0,-45.424,94.444,physiology,#E83000
The relationship between kallikrein and water excretion and the conditional relationship between kallikrein and sodium excretion.,The Journal of physiology,1133793,1975.0,31.206,112.634,physiology,#E83000
The pathology of planning.,The Journal of the Royal College of General Practitioners,1133805,1975.0,83.052,-150.821,unlabeled,#D3D3D3
Three years' experience of electrocardiography in a general practice.,The Journal of the Royal College of General Practitioners,1133807,1975.0,120.927,-59.297,unlabeled,#D3D3D3
Patient-doctor seminars.,The Journal of the Royal College of General Practitioners,1133808,1975.0,86.02,-166.371,unlabeled,#D3D3D3
Application of regression analysis to the hypoglycemic activities of a series of substituted benzenesulfonamidopyrimidines.,Journal of medicinal chemistry,1133810,1975.0,-187.116,99.097,chemistry,#008941
Homologous N-alkylnorketobemidones. Correlation of receptor binding with analgesic potency.,Journal of medicinal chemistry,1133811,1975.0,25.214,177.612,chemistry,#008941
Hypocholesteremic derivatives of styrylacetic acid. 1. gem-Dimethyl analogs of benzalbutyric acid.,Journal of medicinal chemistry,1133812,1975.0,-185.832,89.667,chemistry,#008941
Antiviral quinolinehydrazones. A modified Free-Wilson analysis.,Journal of medicinal chemistry,1133813,1975.0,-178.657,70.155,chemistry,#008941
Preparation and anticoagulant activity of trimethylsilyl heparin in Carbowax.,Journal of medicinal chemistry,1133814,1975.0,52.265,79.649,chemistry,#008941
Narcotic antagonists. 4. Carbon-6 derivatives of N-substituted noroxymorphones as narcotic antagonists.,Journal of medicinal chemistry,1133815,1975.0,-191.052,92.105,chemistry,#008941
Synthesis of a new metabolite of acetylmethadol.,Journal of medicinal chemistry,1133816,1975.0,-27.274,49.838,chemistry,#008941
"Synthesis of 15-keto-6beta, 7beta-methyleneprogesterone. Effect of the 6beta, 7beta-methylene group on mineralocorticoid activity.",Journal of medicinal chemistry,1133817,1975.0,-214.714,5.497,chemistry,#008941
"Fibrin-stabilizing factor inhibitors. 12. 5-Dibenzylaminopentylamine and related compounds, a new type of FSF inhibitors.",Journal of medicinal chemistry,1133818,1975.0,-155.361,77.384,chemistry,#008941
"[1-Beta-mercapto-beta,beta-pentamethylenepropionic acid]oxytocin, a potent inhibitor of oxytocin.",Journal of medicinal chemistry,1133819,1975.0,-175.829,106.702,chemistry,#008941
"Synthesis of isosteres of p-amidinophenylpyruvic acid. Inhibitors of trypsin thrombin, and pancreatic kallikrein.",Journal of medicinal chemistry,1133820,1975.0,-155.603,77.337,chemistry,#008941
Potential inhibitors of S-adenosylmethionine-dependent methyltransferases. 3. Modifications of the sugar portion of S-adenosylhomocysteine.,Journal of medicinal chemistry,1133821,1975.0,-149.181,76.695,chemistry,#008941
"Norepinephrine N-methyltransferase inhibition by benzamidines, phenylacetamidines, benzylguanidines, and phenylethylguanidines.",Journal of medicinal chemistry,1133822,1975.0,-148.925,78.352,chemistry,#008941
"Structure and stereochemistry of some 1,2-disubstituted mitosenes from solvolysis of mitomycin C and mitomycin A.",Journal of medicinal chemistry,1133823,1975.0,-215.25,-8.477,chemistry,#008941
"3-Substituted 2',3'-dihydroestra-1,3,5(10)-trieno (16alpha, 17alpha-b)furan-17beta-ols as potential estrogens.",Journal of medicinal chemistry,1133824,1975.0,-183.778,88.835,chemistry,#008941
Minority student success and failure with the National Intern and Resident Matching Program.,Journal of medical education,1133826,1975.0,112.959,-181.194,education,#549E79
Medical education for women: how good an investment?,Journal of medical education,1133827,1975.0,112.158,-185.095,education,#549E79
Specialty preferences of physicians and medical students.,Journal of medical education,1133828,1975.0,113.124,-181.016,education,#549E79
An inventory of biostatistics teaching in American and Canadian Medical Schools.,Journal of medical education,1133829,1975.0,113.566,-179.758,education,#549E79
Reducing emotional distance: a new method to teach interviewing skills.,Journal of medical education,1133830,1975.0,94.276,-183.991,education,#549E79
Determinants of the choice of rural practice: a study of Yugoslav general practitioners.,Journal of medical education,1133831,1975.0,96.6,-156.865,education,#549E79
National Intern and Resident Matching Program.,Journal of medical education,1133839,1975.0,113.136,-183.582,education,#549E79
Hormonal status of breast cancer. II. Abnormal urinary steroid excretion.,Journal of the National Cancer Institute,1133844,1975.0,35.972,32.501,cancer,#00000
Prolonged survival in bronchogenic carcinoma associated with HL-A antigens W-19 and HL-A5: a preliminary report.,Journal of the National Cancer Institute,1133845,1975.0,72.552,158.374,cancer,#00000
Cytotoxicity of carcinogenic aromatic amides in normal and xeroderma pigmentosum fibroblasts with different DNA repair capabilities.,Journal of the National Cancer Institute,1133846,1975.0,-87.639,116.432,cancer,#00000
Lymphocyte blastogenesis induced by potassium chloride extracts of allogeneic breast carcinoma and lymphoid cells.,Journal of the National Cancer Institute,1133847,1975.0,-64.576,135.865,cancer,#00000
"Naturally occurring human antibody to neuraminidase-treated human lymphocytes. Antibody levels in normal subjects, cancer patients, and subjects with immunodeficiency.",Journal of the National Cancer Institute,1133848,1975.0,72.368,156.51,cancer,#00000
Epithelial blood group antigens in colon polyps. I. Morphologic distribution and relationship to differentiation.,Journal of the National Cancer Institute,1133849,1975.0,46.211,174.519,cancer,#00000
Morphologic and microspectrophotometric studies on spontaneous melanomas in Xiphophorus helleri.,Journal of the National Cancer Institute,1133850,1975.0,-25.985,72.06,cancer,#00000
"Genetics of susceptibility to plasmacytoma induction. I. BALB/cAnN (C), C57BL/6N (B6), C57BL/Ka (BK), (C times B6)F1, (C times BK)F1, and C times B recombinant-inbred strains.",Journal of the National Cancer Institute,1133851,1975.0,-35.4,106.091,cancer,#00000
Incidence of spontaneous neoplasms in F344 rats throughout the natural life-span.,Journal of the National Cancer Institute,1133852,1975.0,-21.227,70.848,cancer,#00000
Increased tumor metastasis after in vitro alteration of the cell surface.,Journal of the National Cancer Institute,1133853,1975.0,-50.43,163.633,cancer,#00000
A white blood cell RNase assay for the possible monitoring of malignancy.,Journal of the National Cancer Institute,1133854,1975.0,72.128,156.802,cancer,#00000
Antitumor action of vitamin A in mice inoculated with adenocarcinoma cells.,Journal of the National Cancer Institute,1133855,1975.0,-22.154,66.137,cancer,#00000
Development of bacteriophage F1 in Clostridium sporogenes: characterization of RNA transcripts.,Journal of virology,1133876,1975.0,-126.827,47.908,virology,#6F0062
Intermediate in adenovirus type 2 replication.,Journal of virology,1133877,1975.0,-137.377,96.584,virology,#6F0062
Inhibition of host protein synthesis by vaccinia virus: fate of cell mRNA and synthesis of small poly (A)-rich polyribonucleotides in the presence of actinomycin D.,Journal of virology,1133878,1975.0,-82.478,47.225,virology,#6F0062
Role of gene 2 in bacteriophage T7 DNA synthesis.,Journal of virology,1133879,1975.0,-127.215,47.983,virology,#6F0062
Role of parathyroid hormone in the phosphaturia of extracellular fluid volume expansion.,Kidney international,1133897,1975.0,30.34,109.677,unlabeled,#D3D3D3
Reaction constants of renin in juxtaglomerular apparatus and plasma renin activity after renal ischemia and hemorrhage.,Kidney international,1133898,1975.0,29.081,117.251,unlabeled,#D3D3D3
Parabiosis in Nya:NYLAR mice.,Laboratory animal science,1134031,1975.0,-35.079,105.164,unlabeled,#D3D3D3
Lesions of experimental cysticercosis in domestic rabbits.,Laboratory animal science,1134032,1975.0,-58.525,-0.773,unlabeled,#D3D3D3
Cage activity in the laboratory beagle: a preliminary study to evaluate a method of comparing cage size to physical activity.,Laboratory animal science,1134033,1975.0,-32.733,-100.135,unlabeled,#D3D3D3
Indirect blood pressure measurement in the dog.,Laboratory animal science,1134034,1975.0,83.517,19.062,unlabeled,#D3D3D3
Physical changes in banked baboon blood.,Laboratory animal science,1134035,1975.0,48.977,67.397,unlabeled,#D3D3D3
Runyon group III atypical mycobacteria as a cause of tuberculosis in a rhesus monkey.,Laboratory animal science,1134036,1975.0,-40.548,-34.329,unlabeled,#D3D3D3
Comparative studies of blood from hibernating and nonhibernating European hamsters (Cricetus cricetus L).,Laboratory animal science,1134037,1975.0,-5.279,46.311,unlabeled,#D3D3D3
Guinea pig percutaneous femoral blood sampling technic using a new restraining device.,Laboratory animal science,1134038,1975.0,33.694,84.551,unlabeled,#D3D3D3
